,prior,historical,posterior,views
ASIANPAINT,0.14212290362893223,0.5315743624600706,0.1161579993797458,0.134039338
AXISBANK,0.2494974802311011,0.581321155156366,0.11573180709283815,0.080620015
BAJFINANCE,0.16274349861339482,1.0460517541973848,0.16368384535618782,0.23223383
BHARTIARTL,0.1781632186134686,0.0235044174417558,0.09480825632689266,0.06329739200000001
HCLTECH,0.11884620630021542,0.6913748079108166,0.10982058597101271,0.11778855
HDFC,0.19119527317657073,0.20267814565289188,0.1049817562571612,0.074360553
HDFCBANK,0.19571431833193015,0.33280500150802395,0.11193576260242638,0.105196844
HINDUNILVR,0.12216543068158349,0.26217366289450084,0.1179655551610491,0.116377075
ICICIBANK,0.2493612347709723,0.5615703212968477,0.12256209215412087,0.09249049599999999
INFY,0.123099733796649,0.30698020731009446,0.09774724082044572,0.096939482
ITC,0.1189703879648455,0.2631276883818432,0.08639359456657905,0.071356641
KOTAKBANK,0.20577314961592502,0.448887369107841,0.11470219610411837,0.102309112
LT,0.22727525134070603,0.3401629720078785,0.10036119572264537,0.048612752
MARUTI,0.14785342611097219,0.5430242198793351,0.0882041687538533,0.08565260300000001
NESTLEIND,0.08428664284506965,0.17561788329130001,0.15553958397534098,0.248298678
RELIANCE,0.21598690346739477,0.10399762459132189,0.12531154533629502,0.083181537
SBIN,0.22289452341951688,0.5089155854631211,0.09555934283329903,0.06122452900000001
SUNPHARMA,0.09541163220200892,0.5086806379476543,0.08316369627935927,0.08268945700000001
TCS,0.1382054090885721,0.3363696371037601,0.12273820172889367,0.109229433
WIPRO,0.10787007389632118,0.176494433727026,0.07641061725997764,0.053436169000000006
